budget,setup,auc
0.1,ent+embdiv,0.9024837509087555
0.1,atlas,0.9197124293642268
0.2,ent+embdiv,0.9367879908033339
0.2,atlas,0.9386856772896118
0.4,ent+embdiv,0.9606983582721167
0.4,atlas,0.9667603453451825
